File Path,Comment Percentage
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/debug.hpp,47.46%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/types.hpp,53.31%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/timer.hpp,43.39%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/main.cpp,54.56%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/sql/request.cpp,39.12%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/sql/SqlQueries.cpp,30.96%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/sql/SqlQueries.hpp,42.02%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/sql/request.hpp,44.89%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/args/args.hpp,25.21%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/args/args.cpp,31.94%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/args/ArgsParser.cpp,32.27%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/args/ArgsParser.hpp,45.79%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/math/tournois.cpp,32.43%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/math/math.hpp,56.47%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationLinux/src/math/permutation.cpp,35.52%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/debug.hpp,47.46%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/types.hpp,53.31%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/timer.hpp,43.39%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/main.cpp,54.02%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/sql/request.cpp,39.12%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/sql/SqlQueries.cpp,21.98%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/sql/SqlQueries.hpp,42.02%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/sql/request.hpp,44.89%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/args/args.hpp,25.21%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/args/args.cpp,31.94%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/args/ArgsParser.cpp,32.27%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/args/ArgsParser.hpp,45.79%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/math/tournois.cpp,32.43%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/math/math.hpp,56.47%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationCPU/src/math/permutation.cpp,21.57%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationGPU/update_matrix.cu,0.00%
/home/zack/Documents/Aldecis/repos/priorisation/PriorisationGPU/kernel.cu,26.74%
